Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,Mean,Error,StdDev,Ratio,RatioSD,Gen 0,Gen 1,Gen 2,Allocated
Sum_ByIndex,CsProjClassicNetToolchain.Net472,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,net472,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,477.9 ns,2.182 ns,2.041 ns,1.00,0.01,-,-,-,-
Sum_Foreach,CsProjClassicNetToolchain.Net472,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,net472,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,480.4 ns,7.727 ns,6.850 ns,1.00,0.00,-,-,-,-
Sum_ByIndex,CsProjCoreToolchain.NetCoreApp22,False,Default,Default,Default,Default,Default,Default,111111111111,COMPLUS_TieredCompilation=1,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,.NET Core 2.2,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,475.7 ns,1.177 ns,1.101 ns,1.34,0.02,-,-,-,-
Sum_Foreach,CsProjCoreToolchain.NetCoreApp22,False,Default,Default,Default,Default,Default,Default,111111111111,COMPLUS_TieredCompilation=1,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,.NET Core 2.2,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,354.0 ns,5.031 ns,4.706 ns,1.00,0.00,-,-,-,-
Sum_ByIndex,CsProjCoreToolchain.NetCoreApp30,False,Default,Default,Default,Default,Default,Default,111111111111,COMPLUS_TieredCompilation=1,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,.NET Core 3.0,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,478.2 ns,3.691 ns,3.272 ns,1.00,0.01,-,-,-,-
Sum_Foreach,CsProjCoreToolchain.NetCoreApp30,False,Default,Default,Default,Default,Default,Default,111111111111,COMPLUS_TieredCompilation=1,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,.NET Core 3.0,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,476.6 ns,2.921 ns,2.589 ns,1.00,0.00,-,-,-,-
